brand,model,weight_g,price_EUR,img_url,length_mm,width_mm,thickness_mm,display_size_pixels,internal_memory_GB,primary_camera_MP,secondary_camera_MP,battery_mAh,is_removable,screen_to_body_ratio,cpu_speed,ram_size,technology_type,color_support,additional_features
Samsung,I9003 Galaxy SL,131,150,http://cdn2.gsmarena.com/vv/bigpic/samsung-i9003-galaxy-s-sl.jpg,123.7,64.2,10.6,480 x 800,16.0,5,,1650.0,1,57.3,1.0,489472.0,,16M,['SC-LCD']
Samsung,Galaxy Ace S5830,113,90,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-mini-s5830-ofic.jpg,112.4,59.9,11.5,320 x 480,,5,,1350.0,1,54.2,800000.0,284672.0,TFT,16M,[]
Samsung,Galaxy Gio S5660,102,110,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-gio.jpg,110.5,57.5,12.2,320 x 480,,15,,1350.0,1,48.0,800000.0,284672.0,TFT,16M,[]
Samsung,Galaxy Mini S5570,105,90,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-mini-s5570.jpg,110.4,60.8,12.1,240 x 320,,15,,1200.0,1,45.5,600000.0,393216.0,TFT,256K,[]
Samsung,Galaxy S 4G T959,118,120,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s-4g-new.jpg,122.4,64.5,9.9,480 x 800,1.0,5,,1650.0,1,57.7,1.0,524288.0,Super AMOLED,16M,[]
Samsung,Google Nexus S,129,170,http://cdn2.gsmarena.com/vv/bigpic/samsung-google-nexus-s-ofic.jpg,123.9,63.0,10.9,480 x 800,16.0,5,,1500.0,1,58.3,1.0,524288.0,Super AMOLED,16M,[]
Samsung,Galaxy Tab T-Mobile T849,380,270,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tap-t-mobile.jpg,190.1,120.5,12.0,600 x 1024,16.0,15,3.0,4000.0,0,60.2,1.0,655360.0,TFT,16M,[]
Samsung,P1000 Galaxy Tab,380,150,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-ofic.jpg,190.1,120.5,12.0,600 x 1024,32.0,15,3.0,4000.0,0,60.2,1.0,524288.0,TFT,16M,[]
Samsung,Mesmerize i500,117.9,100,http://cdn2.gsmarena.com/vv/bigpic/samsung-i500-mesmerize.jpg,124.5,64.3,9.9,480 x 800,2.0,5,,1500.0,1,56.9,1.0,524288.0,Super AMOLED,16M,[]
Samsung,i897 Captivate,118,170,http://cdn2.gsmarena.com/vv/bigpic/samsung-captivate.jpg,122.4,64.2,9.9,480 x 800,16.0,5,,1500.0,1,58.0,1.0,524288.0,Super AMOLED,16M,[]
Samsung,Epic 4G,155,200,http://cdn2.gsmarena.com/vv/bigpic/samsung-epic-4g.jpg,124.0,65.0,14.0,480 x 800,,5,,1500.0,1,56.5,1.0,524288.0,Super AMOLED,16M,[]
Samsung,Galaxy A,128,100,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a.jpg,119.5,59.8,12.5,480 x 800,1.0,5,,1500.0,1,54.5,720000.0,393216.0,Super AMOLED,16M,[]
Samsung,I9000 Galaxy S,119,120,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s.jpg,122.4,64.2,9.9,480 x 800,16.0,5,,1500.0,1,58.0,1.0,524288.0,Super AMOLED,16M,[]
Samsung,B7320 OmniaPRO,110,110,http://cdn2.gsmarena.com/vv/bigpic/samsung-b7320.jpg,111.8,59.6,12.6,320 x 240,,15,,1480.0,1,26.8,528000.0,262144.0,TFT,65K,[]
Samsung,I7500 Galaxy,116.7,140,http://cdn2.gsmarena.com/vv/bigpic/samsung-i7500.jpg,115.9,56.0,11.9,320 x 480,8.0,5,,1500.0,1,47.0,528000.0,131072.0,AMOLED,16M,[]
Samsung,i8910 Omnia HD,148,150,http://cdn2.gsmarena.com/vv/bigpic/samsung-omniahd.jpg,123.0,58.0,12.9,360 x 640,16.0,8,,1500.0,1,52.9,600000.0,262144.0,AMOLED,16M,[]
